


Date	Local_time	Epoch_time	AcqTime_(s)	Line	Species	Flowmeter_(ml/min)	Encoder_counts	Diff_counts	Cond_(uS/cm)	Cond_Temp	Dust (# > 1.0 Mikrom)	EDAQ_Volts	pH_disabled	Na_disabled	SO4_disabled	Ca_disabled	H2O2_disabled	NH4_disabled	MQ/SPLE	NEW BAG	BREAK	LOG	
07/09/2022	12:57:25	1662526645.668491360	47.0	Sample	Sample	9.9035E-1	1.2247E+4	1.9000E+1	1.0400E+0	2.3400E+1	2.6900E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:26	1662526646.668548580	48.0	Sample	Sample	1.0618E+0	1.2228E+4	1.9000E+1	1.0200E+0	2.3400E+1	3.2100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:27	1662526647.668605800	49.0	Sample	Sample	1.0305E+0	1.2210E+4	1.8000E+1	1.0000E+0	2.3400E+1	4.1500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:28	1662526648.668663020	50.0	Sample	Sample	9.4875E-1	1.2191E+4	1.9000E+1	9.8000E-1	2.3400E+1	4.4500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:29	1662526649.668720240	51.0	Sample	Sample	1.0703E+0	1.2173E+4	1.8000E+1	9.7000E-1	2.3400E+1	5.1500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:30	1662526650.668777470	52.0	Sample	Sample	1.1517E+0	1.2154E+4	1.9000E+1	9.3000E-1	2.3400E+1	5.6100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:31	1662526651.668834690	53.0	Sample	Sample	1.0156E+0	1.2136E+4	1.8000E+1	9.1000E-1	2.3400E+1	5.6100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:32	1662526652.668891910	54.0	Sample	Sample	9.8970E-1	1.2117E+4	1.9000E+1	9.0000E-1	2.3400E+1	5.9300E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:33	1662526653.668949130	55.0	Sample	Sample	1.1688E+0	1.2098E+4	1.9000E+1	8.8000E-1	2.3400E+1	5.7100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:34	1662526654.669006350	56.0	Sample	Sample	1.0669E+0	1.2080E+4	1.8000E+1	8.6000E-1	2.3400E+1	5.9100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:35	1662526655.669063570	57.0	Sample	Sample	9.8645E-1	1.2061E+4	1.9000E+1	8.3000E-1	2.3400E+1	5.2700E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:36	1662526656.668120860	58.0	Sample	Sample	1.1331E+0	1.2043E+4	1.8000E+1	8.1000E-1	2.3400E+1	5.1500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:37	1662526657.668178080	59.0	Sample	Sample	1.1666E+0	1.2024E+4	1.9000E+1	8.1000E-1	2.3300E+1	5.0100E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:38	1662526658.668235300	60.0	Sample	Sample	9.9895E-1	1.2005E+4	1.9000E+1	8.0000E-1	2.3300E+1	4.5500E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:39	1662526659.668292520	61.0	Sample	Sample	1.0424E+0	1.1987E+4	1.8000E+1	7.8000E-1	2.3300E+1	4.0300E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:40	1662526660.668349740	62.0	Sample	Sample	1.2007E+0	1.1968E+4	1.9000E+1	7.8000E-1	2.3300E+1	3.8600E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:41	1662526661.668406960	63.0	Sample	Sample	9.7885E-1	1.1949E+4	1.9000E+1	7.7000E-1	2.3300E+1	3.8200E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:42	1662526662.668464180	64.0	Sample	Sample	1.0084E+0	1.1931E+4	1.8000E+1	7.7000E-1	2.3300E+1	3.3400E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:43	1662526663.668521400	65.0	Sample	Sample	1.0484E+0	1.1912E+4	1.9000E+1	7.7000E-1	2.3300E+1	3.3000E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:44	1662526664.668578620	66.0	Sample	Sample	9.8475E-1	1.1893E+4	1.9000E+1	7.7000E-1	2.3300E+1	3.1600E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
07/09/2022	12:57:45	1662526665.668635370	67.0	Sample	Sample	1.1220E+0	1.1874E+4	1.9000E+1	7.9000E-1	2.3300E+1	2.6700E+2	-5.3218E+0	NaN	NaN	NaN	NaN	NaN	NaN	0.0000E+0	0.0000E+0	0.0000E+0	0.0000E+0
